userId,movieId,title,rating
30,108932,The Lego Movie (2014),4.0
30,33794,Batman Begins (2005),5.0
30,260,Star Wars: Episode IV - A New Hope (1977),5.0
30,112852,Guardians of the Galaxy (2014),5.0
30,79132,Inception (2010),5.0
30,7153,"Lord of the Rings: The Return of the King, The (2003)",5.0
30,1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),5.0
30,109487,Interstellar (2014),5.0
30,111759,Edge of Tomorrow (2014),5.0
30,93510,21 Jump Street (2012),5.0
30,122904,Deadpool (2016),5.0
30,1291,Indiana Jones and the Last Crusade (1989),5.0
30,318,"Shawshank Redemption, The (1994)",5.0
30,91529,"Dark Knight Rises, The (2012)",5.0
30,116823,The Hunger Games: Mockingjay - Part 1 (2014),4.0
30,1210,Star Wars: Episode VI - Return of the Jedi (1983),5.0
30,68358,Star Trek (2009),5.0
30,68954,Up (2009),5.0
30,95510,"Amazing Spider-Man, The (2012)",5.0
30,1196,Star Wars: Episode V - The Empire Strikes Back (1980),5.0
30,2571,"Matrix, The (1999)",5.0
30,96821,"Perks of Being a Wallflower, The (2012)",5.0
30,5952,"Lord of the Rings: The Two Towers, The (2002)",5.0
30,58559,"Dark Knight, The (2008)",5.0
30,115617,Big Hero 6 (2014),5.0
30,110,Braveheart (1995),5.0
30,4993,"Lord of the Rings: The Fellowship of the Ring, The (2001)",5.0
30,60069,WALL·E (2008),5.0
30,59315,Iron Man (2008),5.0
30,97913,Wreck-It Ralph (2012),4.0
30,1036,Die Hard (1988),4.0
31,1356,Star Trek: First Contact (1996),4.0
31,1282,Fantasia (1940),5.0
31,1391,Mars Attacks! (1996),5.0
31,736,Twister (1996),4.0
31,733,"Rock, The (1996)",5.0
31,1302,Field of Dreams (1989),4.0
31,377,Speed (1994),5.0
31,1278,Young Frankenstein (1974),5.0
31,588,Aladdin (1992),5.0
31,605,One Fine Day (1996),4.0
31,1361,Paradise Lost: The Child Murders at Robin Hood Hills (1996),5.0
31,339,While You Were Sleeping (1995),4.0
31,7,Sabrina (1995),4.0
31,1270,Back to the Future (1985),4.0
31,912,Casablanca (1942),5.0
31,1196,Star Wars: Episode V - The Empire Strikes Back (1980),4.0
31,10,GoldenEye (1995),4.0
31,1,Toy Story (1995),5.0
31,1036,Die Hard (1988),5.0
31,5060,M*A*S*H (a.k.a. MASH) (1970),5.0
31,165,Die Hard: With a Vengeance (1995),4.0
31,1057,Everyone Says I Love You (1996),5.0
31,1363,"Preacher's Wife, The (1996)",5.0
31,648,Mission: Impossible (1996),5.0
31,852,Tin Cup (1996),4.0
31,141,"Birdcage, The (1996)",4.0
31,783,"Hunchback of Notre Dame, The (1996)",4.0
31,1073,Willy Wonka & the Chocolate Factory (1971),4.0
31,1214,Alien (1979),4.0
31,1240,"Terminator, The (1984)",4.0
31,1353,"Mirror Has Two Faces, The (1996)",4.0
31,780,Independence Day (a.k.a. ID4) (1996),4.0
31,62,Mr. Holland's Opus (1995),4.0
31,1197,"Princess Bride, The (1987)",5.0
31,1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),4.0
31,784,"Cable Guy, The (1996)",5.0
32,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),4.0
32,1429,First Strike (Police Story 4: First Strike) (Ging chaat goo si 4: Ji gaan daan yam mo) (1996),4.0
32,1356,Star Trek: First Contact (1996),4.0
32,1197,"Princess Bride, The (1987)",5.0
32,1104,"Streetcar Named Desire, A (1951)",5.0
32,802,Phenomenon (1996),4.0
32,1196,Star Wars: Episode V - The Empire Strikes Back (1980),4.0
32,852,Tin Cup (1996),4.0
32,1086,Dial M for Murder (1954),4.0
32,1393,Jerry Maguire (1996),4.0
32,1061,Sleepers (1996),4.0
32,1103,Rebel Without a Cause (1955),4.0
32,1084,Bonnie and Clyde (1967),4.0
32,1458,Touch (1997),4.0
32,1391,Mars Attacks! (1996),5.0
32,1036,Die Hard (1988),5.0
32,1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),5.0
32,912,Casablanca (1942),5.0
32,1409,Michael (1996),4.0
32,1073,Willy Wonka & the Chocolate Factory (1971),5.0
32,1079,"Fish Called Wanda, A (1988)",4.0
32,1459,Absolute Power (1997),4.0
32,141,"Birdcage, The (1996)",4.0
32,314,"Secret of Roan Inish, The (1994)",4.0
32,708,"Truth About Cats & Dogs, The (1996)",4.0
32,78,"Crossing Guard, The (1995)",4.0
32,440,Dave (1993),4.0
32,194,Smoke (1995),5.0
32,74,Bed of Roses (1996),4.0
32,21,Get Shorty (1995),4.0
32,761,"Phantom, The (1996)",4.0
32,36,Dead Man Walking (1995),4.0
32,497,Much Ado About Nothing (1993),5.0
32,538,Six Degrees of Separation (1993),5.0
32,203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",4.0
32,608,Fargo (1996),5.0
32,25,Leaving Las Vegas (1995),4.0
32,58,"Postman, The (Postino, Il) (1994)",5.0
32,272,"Madness of King George, The (1994)",5.0
32,260,Star Wars: Episode IV - A New Hope (1977),5.0
32,318,"Shawshank Redemption, The (1994)",5.0
32,26,Othello (1995),4.0
32,339,While You Were Sleeping (1995),4.0
32,627,"Last Supper, The (1995)",4.0
32,345,"Adventures of Priscilla, Queen of the Desert, The (1994)",5.0
32,246,Hoop Dreams (1994),4.0
32,296,Pulp Fiction (1994),5.0
32,593,"Silence of the Lambs, The (1991)",5.0
32,7,Sabrina (1995),4.0
32,529,Searching for Bobby Fischer (1993),4.0
32,100,City Hall (1996),4.0
32,592,Batman (1989),5.0
32,527,Schindler's List (1993),4.0
32,539,Sleepless in Seattle (1993),4.0
32,282,Nell (1994),4.0
32,224,Don Juan DeMarco (1995),4.0
32,265,Like Water for Chocolate (Como agua para chocolate) (1992),5.0
32,50,"Usual Suspects, The (1995)",5.0
32,361,It Could Happen to You (1994),4.0
32,733,"Rock, The (1996)",4.0
33,527,Schindler's List (1993),5.0
33,2310,"Mighty, The (1998)",4.0
33,2571,"Matrix, The (1999)",5.0
